"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8122","#2 Invalid email format: ""testgmailfd.com""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","26684","TC09 - Should show error when email is empty","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Email Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","44504","TC02 - Should fill and submit the enquiry form successfully","chromium","2026-04-30","passed","2026-04-30","Rustomjee Cliff Tower - Enquiry Form","rustomjee\rustomjee-enquiry-form.spec.ts","",""
"","7254","#5 Unregistered or wrong credentials: ""test@gmai""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","9241","TC07 - Should show error when name is empty","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Name Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","7494","#2 Invalid email format: ""testgmailfd.com""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","7712","TC06 - Should not submit when all required fields are empty","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Validation","geg\GEG-enquiry-form.spec.ts","",""
"","12716","TC17 - Should show error when city is empty","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - City Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","25310","TC03 - Should display correct form title and subtitle","chromium","2026-04-30","passed","2026-04-30","Rustomjee Cliff Tower - Form Field Verification","rustomjee\rustomjee-enquiry-form.spec.ts","",""
"","10222","TC07 - Should hide Business Category dropdown when Aerospace is selected as Business Unit","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Business Category Visibility","geg\GEG-enquiry-form.spec.ts","",""
"","5062","#6 Invalid email format: ""123""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","7727","TC08 - Should show error when name is too short","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Name Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","15232","Camel login success","chromium","2026-04-30","passed","2026-04-30","","camel\camel-login.spec.ts","",""
"","24475","Camel login success","Chromium","2026-03-30","passed","2026-03-30","","camel-login.spec.ts","",""
"","19","Invalid email format: ""OR 1=1 --""","Chromium","2026-03-27","failed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
"","8256","TC12 - Should show error when email format is invalid (missing @)","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Email Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","7938","#4 Invalid email format: ""@gmail.com""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","26528","TC04 - Should have all required form fields visible","chromium","2026-04-30","passed","2026-04-30","Rustomjee Cliff Tower - Form Field Verification","rustomjee\rustomjee-enquiry-form.spec.ts","",""
"","16416","#1 Unregistered or wrong credentials: ""testuser@example.com""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","7547","#3 Invalid password for valid email: ""test@test.com""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","7818","#7 Unregistered or wrong credentials: ""test.comgmail@""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","8935","TC11 - Should show error when email format is invalid (missing domain)","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Email Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","7535","#5 Unregistered or wrong credentials: ""test@gmai""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","3863","Invalid email format: ""@gmail.com""","Chromium","2026-03-27","passed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
"","15081","TC19 - Should submit form successfully without message and file (optional fields)","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Optional Fields","geg\GEG-enquiry-form-negative.spec.ts","",""
"","17466","Unregistered or wrong credentials: ""testuser@example.com""","Chromium","2026-03-27","passed","2026-03-27","Negative Login Scenarios","invalid-login.spec.ts","",""
"","29662","TC05 - Should have WhatsApp checkbox toggleable","chromium","2026-04-30","passed","2026-04-30","Rustomjee Cliff Tower - Form Field Verification","rustomjee\rustomjee-enquiry-form.spec.ts","",""
"","9220","TC18 - Should show error when message contains invalid characters","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Message Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","8463","#4 Invalid email format: ""@gmail.com""","Chromium","2026-03-30","passed","2026-03-30","Negative Login Scenarios","invalid-login.spec.ts","",""
"","8274","#1 Unregistered or wrong credentials: ""testuser@example.com""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
"","37131","TC01 - Should open enquiry form modal when ENQUIRE CTA is clicked","chromium","2026-04-30","passed","2026-04-30","Rustomjee Cliff Tower - Enquiry Form","rustomjee\rustomjee-enquiry-form.spec.ts","",""
"","8436","TC05 - Should attach a valid file (png/jpg/docx) to the form","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - File Attachment","geg\GEG-enquiry-form.spec.ts","",""
"","12200","TC14 - Should show error when mobile number is empty","chromium","2026-04-30","passed","2026-04-30","Enquiry Form - Mobile Field Validation","geg\GEG-enquiry-form-negative.spec.ts","",""
"","11223","#8 Invalid email format: ""OR 1=1 --""","chromium","2026-04-30","passed","2026-04-30","Negative Login Scenarios","camel\invalid-login.spec.ts","",""
